index,Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Demand-Loadshed Difference,Generation,Region 0 Failures,Region 1 Failures,Region 2 Failures,Region 3 Failures,Region 4 Failures,Region 5 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region 2 Topological Factor,Region 3 Topological Factor,Region 4 Topological Factor,Region 5 Topological Factor,Mean of T,Variance of T,Region of Failure
0,4,200,-1.0,-1.0,9467.890000000005,2,0.0,0.0,0,500.0,8651.0,500,816.8900000000049,2057.9864190228946,1,1,1,0,0,1,0.25,0.25,0.25,0.0,0.0,0.25,2.0,3.5,"[0, 2, 5, 1]"
1,5,0,-1.0,-1.0,9467.890000000005,3,50.0,200.0,107,50.0,8779.0,550,688.8900000000049,1975.365956757673,1,1,1,1,0,1,0.2,0.2,0.2,0.2,0.0,0.2,2.2,2.959999999999999,"[0, 2, 5, 1, 3]"
2,6,0,-1.0,-1.0,9467.890000000005,-1,50.0,200.0,38,200.0,8775.0,750,692.8900000000049,1917.4590246516952,1,2,1,1,0,1,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,1.9999999999999998,2.666666666666667,"[0, 2, 5, 1, 3, 1]"
3,4,400,-1.0,-1.0,9467.890000000005,-1,0.0,0.0,0,700.0,8508.0,700,959.8900000000049,2122.924052337174,0,0,0,2,1,1,0.0,0.0,0.0,0.5,0.25,0.25,3.75,0.6875,"[5, 3, 4, 3]"
4,4,800,-1.0,-1.0,9467.890000000005,2,0.0,0.0,0,1050.0,8501.0,1050,966.8900000000049,2064.680879255675,0,0,2,1,1,0,0.0,0.0,0.5,0.25,0.25,0.0,2.75,0.6875,"[2, 2, 3, 4]"
5,5,0,-1.0,-1.0,9467.890000000005,3,50.0,800.0,38,200.0,8588.0,1250,879.8900000000049,1990.093756890974,0,1,2,1,1,0,0.0,0.2,0.4,0.2,0.2,0.0,2.4000000000000004,1.0399999999999991,"[2, 2, 3, 4, 1]"
6,6,0,-1.0,-1.0,9467.890000000005,4,50.0,800.0,138,50.0,8588.0,1300,879.8900000000049,1990.0957066245126,0,1,2,1,1,1,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,2.833333333333333,1.8055555555555554,"[2, 2, 3, 4, 1, 5]"
7,7,0,-1.0,-1.0,9467.890000000005,5,50.0,800.0,33,50.0,8534.0,1350,933.8900000000049,1998.2515048465016,0,2,2,1,1,1,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,2.571428571428571,1.959183673469389,"[2, 2, 3, 4, 1, 5, 1]"
8,8,0,-1.0,-1.0,9467.890000000005,6,50.0,800.0,7,50.0,8549.0,1400,918.8900000000049,1956.8468802742898,0,2,2,1,2,1,0.0,0.25,0.25,0.125,0.25,0.125,2.75,1.9375,"[2, 2, 3, 4, 1, 5, 1, 4]"
9,9,0,-1.0,-1.0,9467.890000000005,7,50.0,800.0,31,200.0,8573.0,1600,894.8900000000049,1821.976638204778,0,3,2,1,2,1,0.0,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,2.5555555555555554,2.0246913580246924,"[2, 2, 3, 4, 1, 5, 1, 4, 1]"
