index,Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Demand-Loadshed Difference,Generation,Region 0 Failures,Region 1 Failures,Region 2 Failures,Region 3 Failures,Region 4 Failures,Region 5 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region 2 Topological Factor,Region 3 Topological Factor,Region 4 Topological Factor,Region 5 Topological Factor,Mean of T,Variance of T,Region of Failure
0,2,50,-1.0,-1.0,7972.960000000003,2,0.0,0.0,0,100.0,7152.0,100,820.9600000000028,2126.189388004935,1,0,1,0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,"[0, 2]"
1,3,0,-1.0,-1.0,7972.960000000003,3,50.0,50.0,9,50.0,7157.0,150,815.9600000000028,2101.8823116837225,1,0,1,0,1,0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,2.0,2.666666666666666,"[0, 2, 4]"
2,4,0,-1.0,-1.0,7972.960000000003,-1,50.0,50.0,107,50.0,7104.0,200,868.9600000000028,2068.3249207533704,1,0,1,1,1,0,0.25,0.0,0.25,0.25,0.25,0.0,2.25,2.1875,"[0, 2, 4, 3]"
3,2,50,-1.0,-1.0,7972.960000000003,-1,0.0,0.0,0,100.0,7114.0,100,858.9600000000028,2114.6793035877918,0,0,0,1,0,1,0.0,0.0,0.0,0.5,0.0,0.5,4.0,1.0,"[5, 3]"
4,2,100,-1.0,-1.0,7972.960000000003,2,0.0,0.0,0,150.0,7099.0,150,873.9600000000028,2130.8487760395333,0,0,2,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,"[2, 2]"
5,3,0,-1.0,-1.0,7972.960000000003,3,50.0,100.0,9,50.0,7079.0,200,893.9600000000028,2103.582380534743,0,0,2,0,1,0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,2.6666666666666665,0.8888888888888893,"[2, 2, 4]"
6,4,0,-1.0,-1.0,7972.960000000003,4,50.0,100.0,90,100.0,7086.0,300,886.9600000000028,2103.6246347955757,0,0,2,1,1,0,0.0,0.0,0.5,0.25,0.25,0.0,2.75,0.6875,"[2, 2, 4, 3]"
7,5,0,-1.0,-1.0,7972.960000000003,5,50.0,100.0,33,50.0,7082.0,350,890.9600000000028,2116.601558909258,0,1,2,1,1,0,0.0,0.2,0.4,0.2,0.2,0.0,2.4000000000000004,1.0399999999999991,"[2, 2, 4, 3, 1]"
8,6,0,-1.0,-1.0,7972.960000000003,6,50.0,200.0,38,200.0,7113.0,550,859.9600000000028,1965.9274947614144,0,2,2,1,1,0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,2.1666666666666665,1.1388888888888893,"[2, 2, 4, 3, 1, 1]"
9,7,0,-1.0,-1.0,7972.960000000003,7,50.0,200.0,107,50.0,7276.0,600,696.9600000000028,1923.2579789480258,0,2,2,2,1,0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,2.2857142857142856,1.0612244897959178,"[2, 2, 4, 3, 1, 1, 3]"
10,8,0,-1.0,-1.0,7972.960000000003,8,50.0,200.0,31,200.0,7303.0,800,669.9600000000028,1798.3752359446335,0,3,2,2,1,0,0.0,0.375,0.25,0.25,0.125,0.0,2.125,1.109375,"[2, 2, 4, 3, 1, 1, 3, 1]"
11,9,0,-1.0,-1.0,7972.960000000003,9,50.0,200.0,119,50.0,7271.0,850,701.9600000000028,1818.1887196543967,1,3,2,2,1,0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,1.8888888888888886,1.4320987654320998,"[2, 2, 4, 3, 1, 1, 3, 1, 0]"
12,10,0,-1.0,-1.0,7972.960000000003,10,50.0,200.0,116,100.0,7273.0,950,699.9600000000028,1818.4828501722984,2,3,2,2,1,0,0.2,0.3,0.2,0.2,0.1,0.0,1.7000000000000002,1.6099999999999994,"[2, 2, 4, 3, 1, 1, 3, 1, 0, 0]"
13,11,0,-1.0,-1.0,7972.960000000003,11,50.0,200.0,137,50.0,7272.0,1000,700.9600000000028,1818.4862589119175,2,3,2,2,1,1,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,2.0,2.363636363636365,"[2, 2, 4, 3, 1, 1, 3, 1, 0, 0, 5]"
14,12,0,-1.0,-1.0,7972.960000000003,12,50.0,200.0,105,50.0,7129.0,1050,843.9600000000028,1798.2815998054768,2,3,3,2,1,1,0.16666666666666666,0.25,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,2.0,2.166666666666666,"[2, 2, 4, 3, 1, 1, 3, 1, 0, 0, 5, 2]"
15,13,0,-1.0,-1.0,7972.960000000003,13,50.0,200.0,138,50.0,7126.0,1100,846.9600000000028,1798.2638098231562,2,3,3,2,1,2,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.15384615384615385,2.230769230769231,2.6390532544378695,"[2, 2, 4, 3, 1, 1, 3, 1, 0, 0, 5, 2, 5]"
16,14,0,-1.0,-1.0,7972.960000000003,-1,50.0,200.0,108,50.0,7151.0,1150,821.9600000000028,1817.2838060683464,3,3,3,2,1,2,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.14285714285714285,2.071428571428571,2.78061224489796,"[2, 2, 4, 3, 1, 1, 3, 1, 0, 0, 5, 2, 5, 0]"
17,2,50,-1.0,-1.0,7972.960000000003,2,0.0,0.0,0,100.0,7077.0,100,895.9600000000028,2133.217964180629,0,0,1,0,1,0,0.0,0.0,0.5,0.0,0.5,0.0,3.0,1.0,"[4, 2]"
