Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Free Space 1,Free Space 2,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Free Space 3,Demand-Loadshed Difference,Free Space 4,Generation
1,50,-1,-1,7972.96,0,0,2,0,0,0,0,6849,6849,0,1123.96,0,2607.21777049199
2,0,-1,-1,7972.96,0,0,3,50,50,138,50,6849,6849,0,1123.96,0,2607.21677856314
3,0,-1,-1,7972.96,0,0,4,50,50,142,50,6849,6849,0,1123.96,0,2607.06375873561
4,0,-1,-1,7972.96,0,0,5,50,100,139,100,6736,6736,0,1236.96,0,2713.80205996725
5,0,-1,-1,7972.96,0,0,6,50,100,140,50,6849,6849,0,1123.96,0,2607.13103700442
6,0,-1,-1,7972.96,0,0,7,50,200,141,200,6849,6849,0,1123.96,0,2606.78705986107
7,0,-1,-1,7972.96,0,0,8,50,200,137,100,6762,6762,0,1210.96,0,2797.38160502735
8,0,-1,-1,7972.96,0,0,9,50,200,136,50,6756,6756,0,1216.96,0,2774.64192887462
9,0,-1,-1,7972.96,0,0,10,50,200,93,200,6742,6742,0,1230.96,0,2688.55576224771
10,0,-1,-1,7972.96,0,0,11,50,200,95,100,6742,6742,0,1230.96,0,2705.30504987076
11,0,-1,-1,7972.96,0,0,12,50,200,102,100,6806,6806,0,1166.96,0,2717.36613819649
12,0,-1,-1,7972.96,0,0,13,50,200,104,100,6806,6806,0,1166.96,0,2719.45609683515
13,0,-1,-1,7972.96,0,0,14,50,200,96,50,6806,6806,0,1166.96,0,2777.34275179637
14,0,-1,-1,7972.96,0,0,15,50,200,42,50,6829,6829,0,1143.96,0,2731.84154360763
15,0,-1,-1,7972.96,0,0,16,50,200,34,50,6833,6833,0,1139.96,0,2751.10998477557
16,0,-1,-1,7972.96,0,0,17,50,200,39,50,6883,6883,0,1089.96,0,2652.18137236007
17,0,-1,-1,7972.96,0,0,18,50,200,56,50,6901,6901,0,1071.96,0,2622.39594914259
18,0,-1,-1,7972.96,0,0,19,50,200,115,50,6878,6878,0,1094.96,0,2603.20918433404
19,0,-1,-1,7972.96,0,0,20,50,200,28,50,6899,6899,0,1073.96,0,2623.1778175297
20,0,-1,-1,7972.96,0,0,21,50,200,114,50,6883,6883,0,1089.96,0,2605.17647557293
21,0,-1,-1,7972.96,0,0,22,50,200,108,50,6897,6897,0,1075.96,0,2563.51393541585
22,0,-1,-1,7972.96,0,0,23,50,200,57,50,6927,6927,0,1045.96,0,2502.06234423492
23,0,-1,-1,7972.96,0,0,24,50,200,143,50,6899,6899,0,1073.96,0,2502.06192740154
24,0,-1,-1,7972.96,0,0,25,50,200,155,100,6896,6896,0,1076.96,0,2502.06192769014
25,0,-1,-1,7972.96,0,0,26,50,200,160,50,6900,6900,0,1072.96,0,2502.0619275013
26,0,-1,-1,7972.96,0,0,27,50,200,151,50,6905,6905,0,1067.96,0,2507.01364936288
27,0,-1,-1,7972.96,0,0,28,50,200,154,50,6884,6884,0,1088.96,0,2526.22821539488
28,0,-1,-1,7972.96,0,0,29,50,200,148,50,6871,6871,0,1101.96,0,2609.36794098726
29,0,-1,-1,7972.96,0,0,30,50,200,128,50,6967,6967,0,1005.96,0,2502.78968200892
30,0,-1,-1,7972.96,0,0,-1,50,400,7,400,7061,7061,0,911.960000000003,0,2272.51925868843
1,50,-1,-1,7972.96,0,0,-1,0,0,0,0,6847,6847,0,1125.96,0,2607.09445058183
1,50,-1,-1,7972.96,0,0,-1,0,0,0,0,6849,6849,0,1123.96,0,2607.52076222144
1,50,-1,-1,7972.96,0,0,2,0,0,0,0,6849,6849,0,1123.96,0,2606.78588979246
2,0,-1,-1,7972.96,0,0,3,50,50,138,50,6849,6849,0,1123.96,0,2606.77395892036
3,0,-1,-1,7972.96,0,0,-1,50,50,142,50,6849,6849,0,1123.96,0,2606.5604072893
1,50,-1,-1,7972.96,0,0,-1,0,0,0,0,6849,6849,0,1123.96,0,2607.44568867737
1,50,-1,-1,7972.96,0,0,2,0,0,0,0,6849,6849,0,1123.96,0,2607.27321140301
2,0,-1,-1,7972.96,0,0,-1,50,50,138,50,6849,6849,0,1123.96,0,2607.27323872586
1,100,-1,-1,7972.96,0,0,2,0,0,0,0,6883,6883,0,1089.96,0,2667.29185977747
2,0,-1,-1,7972.96,0,0,-1,50,100,65,50,6884,6884,0,1088.96,0,2694.33328322665
1,100,-1,-1,7972.96,0,0,2,0,0,0,0,6847,6847,0,1125.96,0,2590.97202838898
2,0,-1,-1,7972.96,0,0,3,50,100,138,50,6847,6847,0,1125.96,0,2590.97915120244
3,0,-1,-1,7972.96,0,0,4,50,100,142,50,6847,6847,0,1125.96,0,2591.42036827129
4,0,-1,-1,7972.96,0,0,5,50,100,139,100,6736,6736,0,1236.96,0,2714.6682885047
